
2020-11-18 01:26:13,254 : INFO : files read into PathLineSentences:LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,254 : WARNING : consider setting layer size to a multiple of 4 for greater performance
2020-11-18 01:26:13,254 : INFO : collecting all words and their counts
2020-11-18 01:26:13,254 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,269 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2020-11-18 01:26:26,199 : INFO : PROGRESS: at sentence #10000, processed 39028698 words, keeping 418805 word types
2020-11-18 01:26:38,000 : INFO : collected 660358 word types from a corpus of 73713636 raw words and 18847 sentences
2020-11-18 01:26:38,000 : INFO : Loading a fresh vocabulary
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 retains 121890 unique words (18% of original 660358, drops 538468)
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 leaves 72923093 word corpus (98% of original 73713636, drops 790543)
2020-11-18 01:26:39,051 : INFO : deleting the raw counts dictionary of 660358 items
2020-11-18 01:26:39,067 : INFO : sample=0.001 downsamples 37 most-common words
2020-11-18 01:26:39,067 : INFO : downsampling leaves estimated 53674829 word corpus (73.6% of prior 72923093)
2020-11-18 01:26:39,468 : INFO : estimated required memory for 121890 words and 50 dimensions: 109701000 bytes
2020-11-18 01:26:39,468 : INFO : resetting layer weights
2020-11-18 01:27:08,798 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:27:15,714 : INFO : training model with 4 workers on 121890 vocabulary and 50 features, using sg=0 hs=0 sample=0.001 negative=10 window=5
2020-11-18 01:27:15,714 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:27:16,735 : INFO : EPOCH 1 - PROGRESS: at 1.07% words, 567676 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:17,733 : INFO : EPOCH 1 - PROGRESS: at 2.17% words, 578352 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:18,757 : INFO : EPOCH 1 - PROGRESS: at 3.28% words, 580450 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:19,787 : INFO : EPOCH 1 - PROGRESS: at 4.40% words, 580060 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:20,790 : INFO : EPOCH 1 - PROGRESS: at 5.49% words, 581409 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:21,795 : INFO : EPOCH 1 - PROGRESS: at 6.60% words, 582726 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:22,808 : INFO : EPOCH 1 - PROGRESS: at 7.68% words, 581828 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:23,809 : INFO : EPOCH 1 - PROGRESS: at 8.79% words, 583097 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:24,811 : INFO : EPOCH 1 - PROGRESS: at 9.88% words, 583338 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:25,826 : INFO : EPOCH 1 - PROGRESS: at 10.96% words, 582715 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:26,830 : INFO : EPOCH 1 - PROGRESS: at 12.04% words, 582200 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:27,862 : INFO : EPOCH 1 - PROGRESS: at 13.16% words, 582175 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:28,854 : INFO : EPOCH 1 - PROGRESS: at 14.25% words, 582452 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:29,866 : INFO : EPOCH 1 - PROGRESS: at 15.34% words, 582678 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:30,871 : INFO : EPOCH 1 - PROGRESS: at 16.45% words, 582629 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:31,884 : INFO : EPOCH 1 - PROGRESS: at 17.53% words, 582501 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:32,891 : INFO : EPOCH 1 - PROGRESS: at 18.65% words, 583051 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:33,908 : INFO : EPOCH 1 - PROGRESS: at 19.75% words, 583211 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:34,921 : INFO : EPOCH 1 - PROGRESS: at 20.85% words, 583105 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:35,928 : INFO : EPOCH 1 - PROGRESS: at 21.95% words, 583414 words/s, in_qsize 6, out_qsize 0
2020-11-18 01:27:36,923 : INFO : EPOCH 1 - PROGRESS: at 23.03% words, 583161 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:37,945 : INFO : EPOCH 1 - PROGRESS: at 24.13% words, 583075 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:27:38,948 : INFO : EPOCH 1 - PROGRESS: at 25.24% words, 583605 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:39,978 : INFO : EPOCH 1 - PROGRESS: at 26.33% words, 582846 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:27:40,971 : INFO : EPOCH 1 - PROGRESS: at 27.41% words, 582674 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:41,980 : INFO : EPOCH 1 - PROGRESS: at 28.52% words, 583044 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:42,996 : INFO : EPOCH 1 - PROGRESS: at 29.63% words, 583306 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:27:43,999 : INFO : EPOCH 1 - PROGRESS: at 30.74% words, 583411 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:45,003 : INFO : EPOCH 1 - PROGRESS: at 31.83% words, 583554 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:46,001 : INFO : EPOCH 1 - PROGRESS: at 32.93% words, 583762 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:47,018 : INFO : EPOCH 1 - PROGRESS: at 34.06% words, 584184 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:48,021 : INFO : EPOCH 1 - PROGRESS: at 35.15% words, 584336 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:49,023 : INFO : EPOCH 1 - PROGRESS: at 36.24% words, 584189 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:50,041 : INFO : EPOCH 1 - PROGRESS: at 37.35% words, 584391 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:27:51,042 : INFO : EPOCH 1 - PROGRESS: at 38.42% words, 584004 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:52,050 : INFO : EPOCH 1 - PROGRESS: at 39.52% words, 584227 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:53,040 : INFO : EPOCH 1 - PROGRESS: at 40.61% words, 584111 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:54,047 : INFO : EPOCH 1 - PROGRESS: at 41.72% words, 584275 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:55,070 : INFO : EPOCH 1 - PROGRESS: at 42.82% words, 584148 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:56,067 : INFO : EPOCH 1 - PROGRESS: at 43.92% words, 584320 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:57,068 : INFO : EPOCH 1 - PROGRESS: at 45.01% words, 584296 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:58,082 : INFO : EPOCH 1 - PROGRESS: at 46.12% words, 584377 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:27:59,087 : INFO : EPOCH 1 - PROGRESS: at 47.22% words, 584514 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:00,100 : INFO : EPOCH 1 - PROGRESS: at 48.31% words, 584406 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:01,102 : INFO : EPOCH 1 - PROGRESS: at 49.38% words, 584262 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:28:02,103 : INFO : EPOCH 1 - PROGRESS: at 50.48% words, 584303 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:03,108 : INFO : EPOCH 1 - PROGRESS: at 51.59% words, 584428 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:04,120 : INFO : EPOCH 1 - PROGRESS: at 52.70% words, 584466 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:05,139 : INFO : EPOCH 1 - PROGRESS: at 53.80% words, 584515 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:06,144 : INFO : EPOCH 1 - PROGRESS: at 54.89% words, 584454 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:07,144 : INFO : EPOCH 1 - PROGRESS: at 55.98% words, 584381 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:08,169 : INFO : EPOCH 1 - PROGRESS: at 57.09% words, 584331 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:09,178 : INFO : EPOCH 1 - PROGRESS: at 58.20% words, 584399 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:10,178 : INFO : EPOCH 1 - PROGRESS: at 59.30% words, 584442 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:11,195 : INFO : EPOCH 1 - PROGRESS: at 60.39% words, 584439 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:28:12,197 : INFO : EPOCH 1 - PROGRESS: at 61.48% words, 584342 words/s, in_qsize 5, out_qsize 1
2020-11-18 01:28:13,199 : INFO : EPOCH 1 - PROGRESS: at 62.59% words, 584517 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:14,199 : INFO : EPOCH 1 - PROGRESS: at 63.67% words, 584460 words/s, in_qsize 7, out_qsize 0
